127.0.0.1 - - [20/Dec/2019:20:00:18 +0200] "GET /cargocpc/index.html HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:00:36 +0200] "OPTIONS /shop/api/products HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:00:36 +0200] "POST /shop/api/products HTTP/1.1" 201 5
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:00:36 +0200] "GET /shop/api/products HTTP/1.1" 200 951
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:00:47 +0200] "GET /shop/api/products/5 HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:00:58 +0200] "OPTIONS /shop/api/products/5 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:00:58 +0200] "PUT /shop/api/products/5 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:00:58 +0200] "GET /shop/api/products HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:00 +0200] "GET /shop/api/products HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:03 +0200] "GET /shop/api/cart/artus= HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:03 +0200] "GET /shop/api/cart/artus HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:05 +0200] "GET /shop/api/cart/artu HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:05 +0200] "GET /shop/api/cart/art HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:06 +0200] "GET /shop/api/cart/artu HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:06 +0200] "GET /shop/api/cart/artur HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:07 +0200] "GET /shop/api/cart/artura HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:07 +0200] "GET /shop/api/cart/arturas HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:09 +0200] "GET /shop/api/products/1 HTTP/1.1" 200 104
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:10 +0200] "OPTIONS /shop/api/cart/arturas HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:10 +0200] "POST /shop/api/cart/arturas HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:10 +0200] "GET /shop/api/cart/arturas HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:10 +0200] "GET /shop/api/cart/arturas HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:10 +0200] "GET /shop/api/cart/arturas HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:14 +0200] "GET /shop/api/products HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:16 +0200] "GET /shop/api/products/35 HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:21 +0200] "POST /shop/api/cart/arturas HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:21 +0200] "GET /shop/api/cart/arturas HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:21 +0200] "GET /shop/api/cart/arturas HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:21 +0200] "GET /shop/api/cart/arturas HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:31 +0200] "GET /shop/api/products HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:33 +0200] "GET /shop/api/products/161 HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:34 +0200] "POST /shop/api/cart/arturas HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:34 +0200] "GET /shop/api/cart/arturas HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:35 +0200] "GET /shop/api/cart/arturas HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:35 +0200] "GET /shop/api/cart/arturas HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:36 +0200] "POST /shop/api/cart/arturas HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:36 +0200] "GET /shop/api/cart/arturas HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:36 +0200] "GET /shop/api/cart/arturas HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:36 +0200] "GET /shop/api/cart/arturas HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:38 +0200] "GET /shop/api/products HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:41 +0200] "GET /shop/api/products/129 HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:43 +0200] "GET /shop/api/cart/arturas HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:43 +0200] "GET /shop/api/cart/arturas HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:52 +0200] "OPTIONS /shop/api/cart/arturas/161 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:52 +0200] "DELETE /shop/api/cart/arturas/161 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:52 +0200] "GET /shop/api/cart/arturas HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:52 +0200] "GET /shop/api/cart/arturas HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:52 +0200] "GET /shop/api/cart/arturas HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:52 +0200] "GET /shop/api/cart/arturas HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:52 +0200] "GET /shop/api/cart/arturas HTTP/1.1" 200 314
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:53 +0200] "DELETE /shop/api/cart/arturas/161 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:53 +0200] "GET /shop/api/cart/arturas HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:53 +0200] "GET /shop/api/cart/arturas HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:53 +0200] "GET /shop/api/cart/arturas HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:53 +0200] "GET /shop/api/cart/arturas HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:53 +0200] "GET /shop/api/cart/arturas HTTP/1.1" 200 203
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:53 +0200] "OPTIONS /shop/api/cart/arturas/35 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:53 +0200] "DELETE /shop/api/cart/arturas/35 HTTP/1.1" 200 5
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:53 +0200] "GET /shop/api/cart/arturas HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:53 +0200] "GET /shop/api/cart/arturas HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:53 +0200] "GET /shop/api/cart/arturas HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:53 +0200] "GET /shop/api/cart/arturas HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:53 +0200] "GET /shop/api/cart/arturas HTTP/1.1" 200 55
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:56 +0200] "GET /shop/api/products HTTP/1.1" 200 1049
0:0:0:0:0:0:0:1 - - [20/Dec/2019:20:01:59 +0200] "GET /shop/api/products/35 HTTP/1.1" 200 226
